Date,Close, Volume
4/5/2012,37.99,4047117
4/4/2012,38.58,2574656
4/3/2012,38.78,4368192
4/2/2012,38.88,3609298
3/30/2012,38.58,3796760
3/29/2012,38.28,3746873
3/28/2012,38.17,2831110
3/27/2012,38.65,2034370
3/26/2012,38.49,2570482
3/23/2012,38.48,3368606
3/22/2012,38.30,3078475
3/21/2012,38.23,3587812
3/20/2012,38.44,2908975
3/19/2012,38.41,2925103
3/16/2012,38.73,4905185
3/15/2012,38.41,5222796
3/14/2012,38.30,5555862
3/13/2012,39.05,5182075
3/12/2012,38.68,3655520
3/9/2012,38.21,2491603
3/8/2012,38.19,3070726
3/7/2012,38.23,7574171
3/6/2012,38.19,4467433
3/5/2012,38.26,3409738
3/2/2012,37.96,3830354
3/1/2012,37.73,4855546
2/29/2012,37.61,7185314
2/28/2012,37.96,4622069
2/27/2012,38.23,7826900
2/24/2012,37.73,10845150
2/23/2012,37.91,21265700
2/22/2012,39.84,1644779
2/21/2012,39.87,2546339
2/17/2012,39.73,2359361
2/16/2012,39.91,3213393
2/15/2012,39.60,3416144
2/14/2012,39.84,3163177
2/13/2012,39.71,4153551
2/10/2012,39.30,5677173
2/9/2012,39.37,4551061
2/8/2012,39.31,4324959
2/7/2012,39.88,3998213
2/6/2012,39.61,3933446
2/3/2012,39.58,4215985
2/2/2012,39.57,3805363
2/1/2012,39.40,6510704
1/31/2012,39.56,5137485
1/30/2012,39.46,13053380
1/27/2012,39.95,14304950
1/26/2012,41.28,11512200
1/25/2012,41.38,3548112
1/24/2012,40.67,2953456
1/23/2012,40.80,4864105
1/20/2012,41.01,4167497
1/19/2012,41.10,4580974
1/18/2012,41.54,2854460
1/17/2012,41.43,4096205
1/13/2012,41.37,2718766
1/12/2012,41.35,2447597
1/11/2012,41.23,3074233
1/10/2012,41.26,4720993
1/9/2012,40.98,6044453
1/6/2012,40.79,3215198
1/5/2012,40.95,4033574
1/4/2012,40.90,3384457
1/3/2012,40.77,4968175
12/30/2011,41.31,1680722
12/29/2011,41.54,1943526
12/28/2011,41.28,1994206
12/27/2011,41.65,2448218
12/23/2011,41.57,2013946
12/22/2011,41.37,3490510
12/21/2011,40.85,4489914
12/20/2011,39.94,2789342
12/19/2011,39.29,2775410
12/16/2011,39.66,4432325
12/15/2011,39.74,5042195
12/14/2011,38.72,8321169
12/13/2011,39.46,3031798
12/12/2011,39.32,3574362
12/9/2011,39.73,3448931
12/8/2011,39.29,2912030
12/7/2011,39.74,2705255
12/6/2011,39.74,3039672
12/5/2011,39.47,2589458
12/2/2011,39.25,2771545
12/1/2011,39.62,3083140
11/30/2011,39.68,4898945
11/29/2011,38.26,2942748
11/28/2011,37.79,2814955
11/25/2011,37.20,1077676
11/23/2011,37.10,3014919
11/22/2011,37.55,3133400
11/21/2011,38.05,2984867
11/18/2011,38.56,2321171
11/17/2011,38.33,3313707
11/16/2011,38.63,2659881
11/15/2011,39.22,2334029
11/14/2011,39.07,6757627
11/11/2011,39.52,2369226
11/10/2011,38.84,3422177
11/9/2011,38.43,4187918
11/8/2011,39.20,4783619
11/7/2011,39.76,3686320
11/4/2011,39.70,4810840
11/3/2011,39.87,12000660
11/2/2011,39.35,4488930
11/1/2011,38.71,4890100
10/31/2011,39.28,4444336
10/28/2011,39.42,3776008
10/27/2011,39.72,4091979
10/26/2011,38.80,3758383
10/25/2011,38.65,4254506
10/24/2011,39.05,3259546
10/21/2011,39.13,3683885
10/20/2011,38.96,2704171
10/19/2011,38.47,3563053
10/18/2011,38.56,3764938
10/17/2011,38.31,1931079
10/14/2011,38.66,2256598
10/13/2011,38.31,1922710
10/12/2011,38.21,2765201
