Date,Volume,Close
4/2/2013,119279300,60.37
5/2/2013,143336900,62.49
6/2/2013,148426600,62.42
7/2/2013,176145200,64.28
8/2/2013,158289600,65.21
11/2/2013,129372600,65.88
12/2/2013,152263300,64.23
13/02/2013,118801900,64.11
14/02/2013,88818800,64.05
15/02/2013,97936300,63.17
19/02/2013,108945900,63.15
20/02/2013,119075600,61.62
21/02/2013,111795600,61.23
22/02/2013,82663700,61.89
25/02/2013,93144800,60.79
26/02/2013,125374900,61.63
27/02/2013,146837600,61.03
28/02/2013,80628800,60.6
1/3/2013,138112100,59.09
4/3/2013,145688900,57.66
5/3/2013,159608400,59.19
6/3/2013,115062500,58.43
7/3/2013,117118400,59.11
8/3/2013,97870500,59.27
11/3/2013,118559000,60.11
12/3/2013,116477900,58.81
13/03/2013,101387300,58.8
14/03/2013,75968900,59.37
15/03/2013,160990200,60.91
18/03/2013,151549300,62.56
19/03/2013,131693800,62.39
20/03/2013,77165200,62.06
21/03/2013,95813900,62.15
22/03/2013,98776300,63.41
25/03/2013,125283900,63.64
26/03/2013,73573500,63.31
27/03/2013,82809300,62.06
28/03/2013,110709900,60.77
1/4/2013,97433000,58.88
2/4/2013,132379800,59
3/4/2013,90804000,59.3
4/4/2013,89611900,58.72
5/4/2013,95923800,58.1
8/4/2013,75207300,58.51
9/4/2013,76653500,58.62
10/4/2013,93982000,59.81
11/4/2013,82091100,59.62
12/4/2013,59653300,59
15/04/2013,79380000,57.64
16/04/2013,76442800,58.51
17/04/2013,236264000,55.3
18/04/2013,166574800,53.82
19/04/2013,152318600,53.61
22/04/2013,107480100,54.73
23/04/2013,166059600,55.75
24/04/2013,242412800,55.66
25/04/2013,96209400,56.06
26/04/2013,191024400,57.27
29/04/2013,160081600,59.05
30/04/2013,172884600,60.78
1/5/2013,126727300,60.31
2/5/2013,105457100,61.16
3/5/2013,90325200,61.77
6/5/2013,124160400,63.25
7/5/2013,120938300,62.96
8/5/2013,118149500,63.68
9/5/2013,99621900,63.12
10/5/2013,83713000,62.6
13/05/2013,79237200,62.84
14/05/2013,111779500,61.34
15/05/2013,185403400,59.26
16/05/2013,150801000,60.05
17/05/2013,106976100,59.87
20/05/2013,112894600,61.21
21/05/2013,114005500,60.76
22/05/2013,110759600,60.99
